# x, y,prediction 1,prediction 2, prediction 3
0.62,-2.21,3.56,-2.76,6.56
0.63,-2.64,2.56,-3.07,6.26
0.89,-9.49,-0.41,-9.63,-0.46
0.10,2.93,2.91,2.21,10.56
0.41,1.34,3.47,0.46,9.59
0.61,-2.25,3.56,-2.57,6.76
0.93,-10.10,-0.75,-10.69,-1.56
0.15,3.02,3.02,2.18,10.70
0.90,-9.65,1.04,-9.93,-0.76
0.41,1.66,4.66,0.48,9.62
0.31,2.03,4.15,1.44,10.39
0.84,-7.06,1.49,-8.11,1.13
0.67,-3.57,2.27,-3.87,5.46
0.44,0.84,4.68,0.04,9.22
0.98,-11.51,-0.22,-12.19,-3.14
0.71,-4.40,2.93,-4.73,4.59
0.39,1.76,4.67,0.65,9.76
0.81,-6.78,0.65,-7.32,1.95
0.20,3.08,3.06,2.03,10.72
0.51,-0.26,3.85,-0.92,8.34
0.23,2.22,4.57,1.93,10.68
0.60,-1.73,3.56,-2.40,6.92
0.82,-6.84,0.18,-7.55,1.71
0.21,3.09,4.03,2.00,10.71
0.90,-9.61,1.15,-9.91,-0.74
0.09,2.40,4.00,2.21,10.55
0.26,2.32,3.46,1.78,10.61
0.38,1.34,3.20,0.80,9.89
0.50,-0.30,4.04,-0.74,8.51
0.69,-3.27,2.83,-4.32,5.01
0.56,-1.25,4.02,-1.76,7.54
0.32,2.15,4.73,1.37,10.33
0.40,0.95,3.13,0.50,9.63
0.62,-2.46,1.87,-2.83,6.49
0.38,1.68,3.52,0.74,9.83
0.23,3.01,4.33,1.92,10.68
0.93,-9.61,-0.21,-10.58,-1.45
0.12,3.05,3.62,2.21,10.64
0.56,-0.85,3.99,-1.77,7.53
0.80,-5.93,2.37,-7.03,2.25
0.66,-3.08,1.73,-3.60,5.73
0.59,-1.23,3.51,-2.27,7.04
0.58,-1.29,3.07,-2.07,7.24
0.65,-2.41,3.01,-3.48,5.85
0.68,-3.27,2.22,-4.03,5.30
0.42,0.93,4.60,0.29,9.45
0.25,2.57,3.10,1.82,10.63
0.66,-3.30,3.03,-3.68,5.65
0.79,-5.86,1.90,-6.61,2.68
0.84,-7.73,0.50,-8.01,1.24
0.90,-8.93,1.17,-9.83,-0.66
0.72,-4.62,3.09,-4.94,4.39
0.67,-2.87,2.96,-3.95,5.38
0.97,-11.60,0.12,-11.96,-2.90
0.15,2.80,3.22,2.17,10.71
0.09,2.44,2.44,2.20,10.53
0.10,2.47,3.05,2.21,10.58
0.25,2.44,3.37,1.81,10.63
0.28,2.17,3.08,1.63,10.51
0.04,2.80,2.94,2.12,10.26
0.95,-11.16,-0.84,-11.23,-2.13
0.07,2.67,3.92,2.18,10.44
0.64,-2.12,2.68,-3.13,6.20
0.03,2.79,3.39,2.11,10.23
0.39,1.75,4.32,0.70,9.79
0.77,-5.85,1.32,-6.26,3.04
0.06,3.17,4.16,2.17,10.40
0.70,-3.35,2.22,-4.56,4.77
0.46,0.08,3.31,-0.23,8.98
0.85,-8.00,0.24,-8.28,0.96
0.89,-8.45,0.66,-9.44,-0.25
0.05,2.76,3.85,2.15,10.35
0.02,2.22,2.50,2.07,10.15
0.46,0.20,4.29,-0.15,9.05
0.12,2.90,2.88,2.21,10.65
0.57,-1.64,3.00,-1.91,7.40
0.08,3.01,2.90,2.20,10.50
0.44,1.26,3.31,0.09,9.27
0.21,2.66,3.83,2.01,10.71
0.71,-4.13,2.75,-4.78,4.54
0.48,-0.01,2.64,-0.50,8.73
0.11,2.83,3.35,2.21,10.61
0.04,3.16,3.12,2.13,10.29
0.34,1.85,4.28,1.16,10.17
0.18,2.81,4.34,2.12,10.73
0.94,-10.47,-0.59,-11.01,-1.90
1.00,-12.73,-1.48,-12.92,-3.91
0.43,0.96,3.24,0.23,9.40
0.42,0.90,3.99,0.34,9.49
0.84,-7.76,1.07,-8.05,1.19
0.82,-6.88,0.28,-7.52,1.74
0.81,-6.76,0.74,-7.24,2.04
0.49,0.05,3.01,-0.58,8.65
0.09,3.17,4.35,2.20,10.53
0.97,-11.81,-1.16,-12.14,-3.09
0.40,1.50,4.21,0.54,9.66
0.07,3.13,3.39,2.19,10.46
0.30,2.01,4.75,1.47,10.40
0.39,1.59,3.64,0.70,9.80
0.49,0.50,3.51,-0.58,8.66
0.87,-8.02,1.35,-8.77,0.45
0.24,2.39,4.35,1.89,10.66
1.00,-12.73,-0.21,-12.94,-3.94
0.21,2.63,4.38,2.00,10.71
0.39,1.82,4.53,0.69,9.79
0.44,0.39,3.02,0.14,9.31
0.51,0.23,3.48,-0.92,8.34
0.09,2.99,3.15,2.21,10.56
0.66,-3.36,2.90,-3.74,5.60
0.15,2.93,3.05,2.18,10.70
0.32,1.87,3.35,1.30,10.28
0.34,1.88,4.42,1.12,10.15
0.64,-2.68,3.59,-3.19,6.14
0.76,-5.33,1.92,-6.06,3.25
0.38,1.81,3.27,0.74,9.83
0.45,0.22,2.67,-0.09,9.11
0.94,-10.77,0.12,-10.99,-1.88
0.01,3.04,3.82,2.04,10.08
0.26,2.21,3.80,1.77,10.60
0.08,2.37,2.53,2.20,10.51
0.81,-7.00,0.89,-7.34,1.93
0.55,-0.42,2.36,-1.54,7.76
0.41,1.22,4.31,0.45,9.59
0.75,-5.18,2.58,-5.73,3.58
0.35,2.11,2.88,1.07,10.10
0.22,3.11,3.26,1.95,10.69
0.80,-6.30,0.42,-6.97,2.31
0.46,1.06,3.81,-0.14,9.06
0.18,2.70,3.69,2.11,10.73
0.54,-0.22,3.51,-1.36,7.93
0.97,-11.70,-0.83,-11.99,-2.93
0.95,-10.45,-0.13,-11.45,-2.36
0.69,-3.59,3.34,-4.22,5.11
0.44,0.92,4.65,0.05,9.23
0.84,-8.01,0.54,-8.15,1.09
0.93,-10.40,0.24,-10.69,-1.56
0.45,0.77,2.73,-0.09,9.11
0.85,-7.41,0.27,-8.26,0.98
0.66,-3.31,3.22,-3.72,5.61
0.91,-9.09,0.88,-9.95,-0.79
0.49,0.33,4.50,-0.66,8.58
0.79,-5.87,0.84,-6.72,2.56
0.40,1.29,4.30,0.52,9.65
0.03,2.41,2.50,2.10,10.22
0.83,-7.42,1.81,-7.86,1.39
0.76,-4.97,2.66,-5.91,3.40
0.35,1.77,2.92,1.07,10.10
0.17,3.18,4.04,2.14,10.72
0.33,2.36,3.68,1.22,10.22
0.58,-1.21,2.43,-2.09,7.23
0.24,2.92,2.94,1.88,10.66
0.07,2.52,3.66,2.19,10.47
0.06,3.22,3.00,2.17,10.39
0.29,2.64,4.88,1.56,10.47
0.68,-3.89,2.01,-4.17,5.16
0.77,-5.09,1.08,-6.21,3.09
0.07,3.21,3.22,2.19,10.46
0.76,-5.23,0.95,-5.88,3.43
0.56,-1.36,2.80,-1.65,7.65
0.01,2.11,3.37,2.05,10.11
0.73,-4.89,2.66,-5.29,4.03
0.63,-2.45,2.35,-2.92,6.40
0.48,-0.03,3.92,-0.47,8.76
0.52,0.04,3.83,-1.12,8.15
0.46,0.75,2.97,-0.13,9.07
0.50,0.43,2.84,-0.81,8.45
0.84,-7.36,1.50,-7.95,1.30
0.16,3.07,4.38,2.15,10.72
0.37,2.04,4.54,0.86,9.93
0.38,1.78,3.62,0.81,9.89
0.91,-9.84,-0.83,-10.24,-1.09
0.82,-7.38,1.01,-7.55,1.71
0.27,2.37,3.42,1.69,10.55
0.10,3.01,2.73,2.21,10.57
0.08,2.70,3.31,2.20,10.49
0.82,-7.09,1.04,-7.54,1.72
0.93,-9.55,0.85,-10.58,-1.45
0.71,-4.28,3.13,-4.73,4.60
0.07,2.36,3.11,2.19,10.46
0.24,2.80,4.58,1.88,10.66
0.46,0.07,4.32,-0.24,8.97
0.83,-6.81,1.43,-7.88,1.37
0.91,-9.21,0.31,-10.04,-0.88
0.01,2.34,3.01,2.02,10.04
0.12,2.51,2.85,2.20,10.65
0.44,0.93,3.99,0.10,9.28
0.78,-5.29,0.80,-6.38,2.91
0.14,3.03,4.50,2.18,10.69
0.59,-1.76,2.15,-2.17,7.14
0.62,-2.11,1.86,-2.88,6.44
0.71,-4.03,2.40,-4.83,4.50
0.95,-10.68,-0.47,-11.30,-2.20
0.28,2.51,3.39,1.66,10.53
0.81,-6.21,2.24,-7.23,2.04
0.70,-3.78,2.41,-4.57,4.76
0.18,2.86,2.95,2.10,10.73
0.51,0.18,3.25,-0.93,8.33
0.91,-9.25,0.18,-9.98,-0.82
0.13,2.84,4.39,2.20,10.66
0.87,-8.34,1.06,-8.81,0.40
0.64,-2.81,1.76,-3.19,6.14
0.87,-8.47,-0.22,-8.82,0.39
0.62,-1.88,2.31,-2.88,6.45
0.03,3.10,3.53,2.11,10.24
0.15,3.28,4.37,2.17,10.71
0.25,2.74,2.97,1.79,10.62
0.42,0.85,3.86,0.34,9.49
0.68,-3.25,3.43,-4.00,5.33
0.07,2.62,2.73,2.19,10.47
0.16,2.76,4.63,2.16,10.71
0.80,-5.79,1.01,-6.87,2.41
0.92,-10.24,-0.33,-10.46,-1.32
0.90,-9.07,0.51,-9.80,-0.63
0.01,2.41,2.64,2.04,10.09
0.27,2.68,4.20,1.72,10.57
0.26,2.63,3.49,1.76,10.60
0.98,-11.57,-1.39,-12.42,-3.38
0.80,-6.84,1.61,-7.08,2.20
0.25,2.33,2.89,1.81,10.62
0.32,1.85,4.60,1.34,10.31
0.43,0.80,3.52,0.25,9.41
0.11,2.37,3.89,2.21,10.63
0.61,-1.64,3.15,-2.54,6.78
0.20,2.27,3.25,2.04,10.72
0.36,1.76,3.84,1.02,10.06
0.85,-7.24,1.21,-8.35,0.89
0.41,1.07,4.64,0.41,9.55
0.24,2.69,4.77,1.86,10.65
0.05,3.15,3.93,2.15,10.34
0.67,-3.08,3.49,-3.82,5.51
0.29,2.05,4.16,1.59,10.49
0.25,2.93,4.82,1.82,10.63
0.41,0.94,2.99,0.43,9.57
0.27,2.03,3.87,1.68,10.55
0.29,2.20,2.95,1.53,10.45
0.22,2.43,4.14,1.97,10.70
0.98,-12.02,-1.09,-12.48,-3.45
0.15,2.67,4.66,2.16,10.71
0.37,1.93,4.50,0.86,9.93
0.57,-1.23,3.02,-1.84,7.46
0.97,-11.49,-1.07,-11.84,-2.78
0.79,-5.95,1.31,-6.76,2.53
0.79,-6.43,2.34,-6.74,2.55
0.83,-7.26,1.66,-7.88,1.37
1.00,-12.05,-0.20,-12.99,-3.99
1.00,-12.39,-0.45,-12.92,-3.92
0.68,-2.97,1.55,-4.06,5.28
0.56,-1.00,2.82,-1.68,7.62
0.12,2.99,4.29,2.21,10.65
0.86,-8.02,1.72,-8.63,0.59
0.67,-3.35,2.56,-3.79,5.54
0.65,-2.91,3.28,-3.45,5.88
0.00,2.72,2.11,2.01,10.02
0.83,-7.03,0.49,-7.66,1.60
0.64,-2.96,3.62,-3.25,6.09
0.29,1.86,3.46,1.57,10.48
0.53,-0.39,3.56,-1.23,8.05
0.18,3.17,3.53,2.09,10.73
0.99,-12.65,-0.24,-12.81,-3.80
0.42,0.73,4.17,0.39,9.53
0.24,2.25,3.38,1.84,10.64
0.79,-6.43,0.66,-6.73,2.56
0.47,0.84,2.93,-0.31,8.91
0.40,1.51,4.51,0.53,9.65
0.14,3.18,3.35,2.19,10.69
0.46,0.05,4.26,-0.20,9.00
0.18,2.58,4.24,2.10,10.73
0.62,-2.49,3.24,-2.91,6.42
0.11,2.81,3.98,2.21,10.62
0.86,-8.41,1.06,-8.66,0.56
0.16,2.91,4.39,2.16,10.71
0.27,2.46,4.36,1.70,10.56
0.11,3.18,3.83,2.21,10.62
0.22,2.79,4.50,1.98,10.70
0.97,-11.24,-0.51,-11.99,-2.93
0.20,3.08,3.87,2.05,10.72
0.92,-9.57,-0.48,-10.46,-1.33
0.73,-4.43,2.56,-5.11,4.21
0.25,2.91,4.09,1.80,10.62
0.92,-9.42,-0.83,-10.26,-1.11
0.88,-8.26,0.12,-9.32,-0.13
0.66,-3.31,2.06,-3.72,5.61
0.30,2.27,3.09,1.51,10.43
0.53,-0.25,2.48,-1.17,8.11
0.84,-7.72,1.23,-8.00,1.24
0.35,2.04,3.82,1.09,10.12
0.96,-10.61,-0.48,-11.54,-2.46
0.98,-11.95,-0.32,-12.39,-3.35
0.30,2.42,4.27,1.50,10.43
0.61,-1.71,2.44,-2.63,6.70
0.96,-11.34,0.40,-11.66,-2.59
0.86,-7.51,0.64,-8.59,0.63
0.42,0.59,3.42,0.32,9.47
0.87,-7.94,0.67,-8.90,0.31
0.99,-12.53,-1.42,-12.73,-3.72
0.57,-1.46,3.65,-1.91,7.39
0.55,-0.95,2.30,-1.52,7.77
0.66,-2.80,3.05,-3.74,5.59
0.23,2.15,4.15,1.90,10.67
0.51,-0.50,2.46,-0.91,8.35
0.36,2.10,3.10,0.98,10.03
0.44,1.11,4.38,0.12,9.30
0.40,0.94,2.97,0.52,9.65
0.11,2.55,4.20,2.21,10.61
0.60,-1.44,3.64,-2.40,6.92
0.96,-11.31,0.40,-11.66,-2.58
0.07,3.20,2.54,2.19,10.47
0.77,-5.92,0.96,-6.21,3.09
0.76,-5.47,1.38,-5.85,3.46
0.63,-2.00,3.77,-2.94,6.39
0.44,1.17,2.78,0.10,9.28
0.50,0.25,3.14,-0.74,8.51
0.96,-10.69,-0.01,-11.69,-2.61
0.22,2.58,4.43,1.95,10.69
0.24,2.19,3.25,1.88,10.66
0.36,1.80,4.74,0.98,10.03
0.93,-10.74,-0.16,-10.81,-1.68
0.15,3.04,3.37,2.17,10.71
0.58,-1.69,4.04,-2.02,7.29
0.37,1.56,3.32,0.92,9.99
0.82,-6.59,1.44,-7.58,1.68
0.56,-1.32,3.71,-1.68,7.61
0.77,-5.93,2.65,-6.20,3.11
0.32,1.77,4.25,1.31,10.29
0.23,2.64,4.81,1.90,10.67
0.04,2.16,2.73,2.12,10.26
0.47,0.60,3.59,-0.30,8.92
0.57,-1.05,3.48,-1.84,7.46
0.59,-1.49,3.36,-2.28,7.03
0.21,2.44,4.25,1.99,10.71
0.57,-0.95,2.83,-1.97,7.34
0.62,-1.92,3.02,-2.85,6.48
0.55,-0.33,4.05,-1.57,7.72
0.73,-4.46,2.68,-5.25,4.07
0.84,-7.45,1.23,-8.01,1.23
0.78,-5.51,1.25,-6.53,2.76
0.98,-11.43,-0.99,-12.38,-3.34
0.10,2.85,3.36,2.21,10.56
0.01,2.49,2.25,2.05,10.10
0.09,2.49,4.29,2.20,10.52
0.92,-9.50,0.62,-10.30,-1.15
0.22,2.38,2.94,1.94,10.69
